clauseField,ftcCnclsns,clauseArticle,dvAntageous,illdcssBasiss,relateLaword,unfavorableProvision
7,1,"제6조(카드의 발급 및 관리)
제7항 귀행의 발급기준에 의거 발급이 불가할 경우 본 신청서로 00 00000카드 발급신청에 갈음하고자 합니다.",2,"회원이 본 카드발급 기준에 미달될 경우 카드사가 일방적으로 타 카드 발급신청에 갈음한다는 내용을 약관상에 규정함은 고객의 의사를 무시하고 카드사의 의사만을 내세우는 일방적인 규정이며, 고객이 의사표시할 실질적인 기회를 박탈하는 것이다. 고객이 본 신청서의 카드발급외 타 카드발급을 원치 않는다면, 이는 고객의 동의없이 개인정보를 무단으로 활용하는 것이다.  약관조항은 일정한 작위가 있을 때 고객의 의사표시가 표명되는 것으로 보는 조항이다.","제12조(의사표시의 의제) 의사표시에 관하여 정하고 있는 약관의 내용 중 다음 각 호의 어느 하나에 해당하는 내용을 정하고 있는 조항은 무효로 한다.
  1. 일정한 작위 또는 부작위가 있을 경우 고객의 의사표시가 표명되거나 표명되지 아니한 것으로 보는 조항. 다만, 고객에게 상당한 기한 내에 의사표시를 하지 아니하면 의사표시가 표명되거나 표명되지 아니한 것으로 본다는 뜻을 명확하게 따로 고지한 경우이거나 부득이한 사유로 그러한 고지를 할 수 없는 경우",2
36,1,"제3항 
본 계약을 영업주가 위반할때에는 계약금과 계약금에 상당하는 금액을 배상하고 혼주측이 위반할 때에는 계약금을 반환하지 아니한다",2,"해약금을 수령한 자가 해약할 경우에는 해약금의 배액을 상환하는 것이 민법의 일반원칙이라 볼 때, 위 조항은 법률의 규정에 의한 해제권․해지권의 행사요건을 완화하여 고객에 대하여 부당하게 불이익을 줄 우려가 있는 조항이다.","제9조(계약의 해제,해지) 
계약의 해제,해지에 관하여 정하고 있는 약관의 내용 중 다음 각 호의 어느 하나에 해당되는 내용을 정하고 있는 조항은 무효로 한다.
  2. 사업자에게 법률에서 규정하고 있지 아니하는 해제권 또는 해지권을 부여하여 고객에게 부당하게 불이익을 줄 우려가 있는 조항",2
25,1,"제1조(손해배상)
서비스 유료화 이후는 회사의 귀책사유로 인해 전체 서비스 장애시간이 24시간 이상 되었을 경우 사용자는 해당 기간의 이용요금에 대하여 환불을 요구할 수 있다.",2,상당한 이유없이 사업자의 손해배상범위를 제한하거나 사업자가 부담하여야 할 위험을 고객에게 이전시키는 조항이다.,"제6조(일반원칙) 
  ② 약관의 내용 중 다음 각 호의 어느 하나에 해당하는 내용을 정하고 있는 조항은 공정성을 잃은 것으로 추정된다.
  1. 고객에게 부당하게 불리한 조항<sep>제7조(면책조항의 금지) 
계약 당사자의 책임에 관하여 정하고 있는 약관의 내용 중 다음 각 호의 어느 하나에 해당하는 내용을 정하고 있는 조항은 무효로 한다.
  2. 상당한 이유 없이 사업자의 손해배상 범위를 제한하거나 사업자가 부담하여야 할 위험을 고객에게 떠넘기는 조항",1
8,1,"제6조(담보)
제3항 채무자가 조합에 대한 채무의 이행을 지체한 경우에는, 조합이 점유하고 있는 채무자의 동산․어음 기타의 유가증권을, 담보로서 제공된 것이 아닐지라도, 조합이 계속 점유하거나 제2항에 준하여 추심 또는 처분 등의 처리를 할 수 있기로 합니다.",2,"채무자가 이행을 지체하면 피심인은 상계권을 행사할 수 있고, 기한이익이 상실되었음을 이유로 저당권 등 담보물권을 실행할 수도 있다. 그런데 해당 약관조항은 이러한 권리를 넘어서서 담보로 제공된 것이 아닐지라도 피심인이 채무자의 재산을 임의로 추심 또는 처분할 수 있도록 함으로써 채무자의 재산권을 지나치게 침해할 수 있다.","제6조(일반원칙)
② 약관의 내용 중 다음 각 호의 어느 하나에 해당하는 내용을 정하고 있는 조항은 공정성을 잃은 것으로 추정된다.
1. 고객에게 부당하게 불리한 조항",2
5,1,"제3조(구매품목 및 대금)                                                                                    품 목 : 000 자판기
대 금 : 20,800,000원 (40대 기준, VAT별도)
계약금 : 5,000,000원
잔 금 : 15,800,000원 (납품 3일전)<sep>제6조(구매계약의 해지)
제3항 을의 귀책사유로 계약이 해지 해약될 시 계약금으로 갑에게 입금한 금액은 기기 제작 발주 위약금으로 갑에게 귀속함에 있어 을은 계약금 반환을 청구할 수 없다.",2,"계약금을 5,000,000원으로 정한 것만으로는 계약자유의 원칙을 고려할 때 고객에 대하여 부당한 것이라고 보기 어렵다. 총대금의 25퍼센트에 해당하는 계약금 5,000,000원을 위약금으로 사업자에게 귀속시키는 것은 과도하다고 판단된다.",제8조(손해배상액의 예정) 고객에게 부당하게 과중한 지연 손해금 등의 손해배상 의무를 부담시키는 약관 조항은 무효로 한다.,2
6,1,"제1조 (목 적)
사회복지법인 000은 입소 노인과 자유와 쾌적한 환경속에서 급식 및 기타 일상생활에 필요한 편의를 제공하고자 본 계약 목적을 서로 승인하고 입소 계약을 보증인과 연대하여 체결한다.<sep>제4조 (계약자 의무)
입소자의 입소계약 후 입소자가 계약사항을 이행치 못할 경우는 보증인이 입소비를 부담하여야 한다. 보증인은 000 가족 모두가 되고 문제가 발생시 공동책임으로 한다.",2,"해당 약관에는 000 가족 모두라고 규정하여 입소자와 계약관계가 발생하지 않은 제3자(기존입소자, 직원등)에게 계약불이행에 대한 책임을 지우고 있어, 고객이 계약의 거래형태 등 제반사정에 비추어 예상하기 어려운 조항이다.","제6조(일반원칙)
② 약관의 내용 중 다음 각 호의 어느 하나에 해당하는 내용을 정하고 있는 조항은 공정성을 잃은 것으로 추정된다.
2. 고객이 계약의 거래형태 등 관련된 모든 사정에 비추어 예상하기 어려운 조항",1
38,1,"제20조(사고처리) 
제2항 회사와 임차인은 각자 주어진 책임 범위내에서 사고 해결에 노력하고 상호협조를 태만히 하여 발생하는 손해에 대하여는 귀책사유에 따라 상대방에게 배상하여야 한다(단, 대인, 대물, 자손의 보험처리시 임차인은 각각의 면책금으로 50만원을 렌트카에 지급하여야 한다)",2,해당 약관조항은 보험처리시 사고의 경중 등을 구분하지 아니하고 동일한 액수의 면책금을(50만원) 지급하도록 하고 있다. 이는 경미한 사고를 낸 이용자와 중한 사고를 낸 이용자간 형평에 반하여 부당하기때문에 해당 약관조항은 고객에게 부당하게 불리한 약관조항이다.,"제6조(일반원칙)
① 신의성실의 원칙을 위반하여 공정성을 잃은 약관 조항은 무효이다.<sep>제2조(정의)
이 법에서 사용하는 용어의 정의는 다음과 같다.
1.  약관 이란 그 명칭이나 형태 또는 범위에 상관없이 계약의 한쪽 당사자가 여러 명의 상대방과 계약을 체결하기 위하여 일정한 형식으로 미리 마련한 계약의 내용을 말한다.",1
39,1,"제6조 (요금의 정산 및 징수)
① 입장에 관한 모든 요금은 락카실을 이용하거나 경기보조자를 배치받은 후에는 환불되지 아니한다.
단, 악천후로 인하여 경기를 지속하기가 객관적으로 불가능하다고 판단되었을 시에는 당 클럽에서 9홀 미만 이용자에 한하여 차후 이용시 9홀 입장료만 면제되는 00000을 발행하여 줄 수 있다.",2,"고객이 락카실 이용이나 경기보조자를 배치 받는 등 입장절차를 마쳤다하더라도 사업자의 책임이나 악천후 등으로 경기를 시작하지 못하거나 경기를 중도에 포기하는 경우에는 그동안의 이용정도를 고려한 금액을 공제한 나머지는 반환해 주는 것이 합리적이라 할 것이다. 위 약관조항에서는 사업자의 책임으로 인한 사유나, 악천후 등 불가항력적인 사유 등을 고려함이 없이 락카실을 이용하거나 경기보조자를 배치받은 후에는 전혀 환불되지 않는다고 규정하고 있는 바, 이는 고객에 대하여 부당하게 불리한 약관조항이다.","제6조(일반원칙)
② 약관의 내용 중 다음 각 호의 어느 하나에 해당하는 내용을 정하고 있는 조항은 공정성을 잃은 것으로 추정된다.
1. 고객에게 부당하게 불리한 조항",1
1,1,"가맹점계약서 제4조(판매지역)
을 의 판매지역은 제3조에 따라 ㅇㅇ지역(별첨 지도)으로 하며, 동 지역이외의 판매는 갑 의 사전동의를 받아야 한다. 단,  갑 의 직영점과는 무관한 것으로 한다.",2,"위 조항 중 가맹사업자인 피심인이 가맹점의 판매지역을 지정하고 동 지역 이외의 판매시에는 사전동의를 받도록 규정한 것은 프랜차이즈계약에 있어서 거래관행으로 이는 가맹점의 상권보호를 위한 것으로 가맹점의 입장에서는 불리한 조항이라고 볼 수 없다.  이에 대하여 피심인은 자신의 직영점은 가맹점 모집 이전부터 존재하여 가맹점은 직영점의 판매활동을 제약하지 않는 범위 내에서 영업하는 것을 기본적 전제로 하고 있다고 주장하고 있으나, 피심인이 유통구조를 직영점 체제에서 직영점과 가맹점이 혼합된 체계로 전환한 이상 가맹점의 이익도 고려하여야 할 의무가 있는 것이며, 가맹점계약 체결 후에 가맹점의 판매지역에 직영점을 설치하는 경우 가맹점의 영업에 피해를 줄 수 있다고 판단된다. 또한, 이 건 계약과 같이 직영점과 별도 사업자인 가맹점이 시장에서 경쟁하는 경우 가맹점은 가격 등 여러 면에서 불리한 위치에 있는 점을 감안한다면 피심인의 직영점은 가맹점의 배타적인 판매지역에 관계없이 영업할 수 있도록 규정하는 것은 가맹점 입장에서는 부당하게 불리한 조항에 해당된다.","제6조(일반원칙)
② 약관의 내용 중 다음 각 호의 어느 하나에 해당하는 내용을 정하고 있는 조항은 공정성을 잃은 것으로 추정된다.
1. 고객에게 부당하게 불리한 조항",1
2,1,"제2조 (계약의 해제)
제3항 수급자가 본 계약을 해제하고자 할 경우에는 서면으로 계약해제를 요청해야 하며, 공급자가 본 계약의 이행을 위하여 공사의 자재 구입, 배관 및 창호공사를 발주하는 2015년 ㅇ월 ㅇ일 이후에는 현장시공 특성상 본 계약의 해제가 제한될 수 있습니다. 단, 본조에 의한 계약해제로 인해 공급자에게 발생하는 제반 손해는 수급자가 책임지고 배상하여야 합니다.",2,"당사자의 일방이라는 것은 매매 쌍방 중 어느 일방을 지칭하는 것이고, 상대방이라 국한하여 해석할 것이 아니므로, 비록 상대방인 매도인이 매매계약의 이행에는 전혀 착수한 바가 없다 하더라도 매수인이 중도금을 지급하여 이미 이행에 착수한 이상 매수인은 민법 제565조에 의하여 계약금을 포기하고 매매계약을 해제할 수 없다. 고객이 계약금을 포기하고 계약을 해제할 수 있어야 할 것임에도 피심인들의 심사대상 약관조항은 옵션상품의 계약 체결 이후 또는 특정 시점 이후에 옵션 계약 해제가 일체 불가한 것으로 규정함으로써 고객의 해제권을 과도하게 제한하고 있다. 나아가 일부 피심인의 경우, 사업자의 계약해제권 행사는 특별히 제한하지 않은 채 오로지 고객의 해제권만을 제한하는 등 고객에게 부당하게 불리한 것으로 판단된다.","제9조(계약의 해제,해지)
계약의 해제,해지에 관하여 정하고 있는 약관의 내용 중 다음 각 호의 어느 하나에 해당되는 내용을 정하고 있는 조항은 무효로 한다.
1. 법률에 따른 고객의 해제권 또는 해지권을 배제하거나 그 행사를 제한하는 조항",2
42,1,"제16조(디지털콘텐츠 등의 구매계약철회, 변경 등)
제3항 동영상강의 취소 및 환불 기준 기간은 동조 전항들의 기간을 준용하며 아래 환불 가능 수강강의 수의 기준에 따른다.<sep>제1호 패키지, 프리미엄 강의(연간 회원 상품) 역시 수강시작일로부터 7일 이내이며, 환불 가능한 수강 강의 수는 전체 강의에서 10강 이하로 한다.",2,"일정 기간이 경과하였다고 하여 해지 또는 환불을 제한하는 조항은 사실상 미수강분에 대한 대가 전액을 해지에 대한 손해배상액으로 하는, 과중한 손해배상 의무를 부담시키는 조항이고, 고객에게 부당하게 불리한 조항이므로 약관법상 위법하다.","제8조(손해배상액의 예정) 
고객에게 부당하게 과중한 지연 손해금 등의 손해배상 의무를 부담시키는 약관 조항은 무효로 한다.<sep>제6조(일반원칙)
  ② 약관의 내용 중 다음 각 호의 어느 하나에 해당하는 내용을 정하고 있는 조항은 공정성을 잃은 것으로 추정된다.
  1. 고객에게 부당하게 불리한 조항<sep>제9조(계약의 해제,해지) 
계약의 해제,해지에 관하여 정하고 있는 약관의 내용 중 다음 각 호의 어느 하나에 해당되는 내용을 정하고 있는 조항은 무효로 한다.
  1. 법률에 따른 고객의 해제권 또는 해지권을 배제하거나 그 행사를 제한하는 조항",2
26,1,"제 4조 (계약의 구성)
② 여행일정표(또는 여행설명서)에는 여행일자별 여행지와 관광내용, 교통수단, 쇼핑횟수, 숙박장소, 식사 등 여행 실시 일정 및여행사 제공 서비스 내용과 여행자 유의사항이 포함되어야 합니다. 관광일정에서 빠지실 경우 1일당 20달러씩 현지에서 지불하셔야 합니다.",2,"기획여행계약을 체결하는 경우 여행사는 선량한 관리자의 주의의무를 다하여 약정한 일정이 원활하게 진행되도록 하여야 하며 여행객은 여행경비를 지급함에 대응하는 여행서비스를 제공받을 권리를 가지게 되는 것이다. 여행객은 약정한 일정대로 요구할 권리가 있을뿐 여행사의 일정에 참가하여야 하는 의무는 없다고 할 것인바, 그럼에도 고객이 일정(예컨대 선택관광이나 쇼핑 등)을 원치 않거나 고객의 건강 등의 특별한 사정으로 현지에서의 일정에 참가하지 않을 경우에 일종의 위약금을 부과할 수 있도록 규정한 약관조항은 여행계약의 고객의 입장에서는 부당하게 불리한 것인 동시에 여행계약의 거래형태 등 제반사정에 비추어 예상하기 어려운 조항이다.","제6조(일반원칙) 
  ② 약관의 내용 중 다음 각 호의 어느 하나에 해당하는 내용을 정하고 있는 조항은 공정성을 잃은 것으로 추정된다.
  1. 고객에게 부당하게 불리한 조항<sep>제6조(일반원칙) 
 ② 약관의 내용 중 다음 각 호의 어느 하나에 해당하는 내용을 정하고 있는 조항은 공정성을 잃은 것으로 추정된다.
  2. 고객이 계약의 거래형태 등 관련된 모든 사정에 비추어 예상하기 어려운 조항<sep>제10조(채무의 이행) 채무의 이행에 관하여 정하고 있는 약관의 내용 중 다음 각 호의 어느 하나에 해당하는 내용을 정하고 있는 조항은 무효로 한다.
  1. 상당한 이유 없이 급부(給付)의 내용을 사업자가 일방적으로 결정하거나 변경할 수 있도록 권한을 부여하는 조항",2
